file,"hgnc hits","on wp_all","on wp_hs","new wp_hs only","new wp_all","new hits only to wp_hs","new hits to wp_all"
PMC2794709__JCS053678F2.jpg.txt,0,0,0,0,0,,
PMC2795491__zpq9990901380006.jpg.txt,0,0,0,0,0,,
PMC2795724__pone.c9e68857-cd7e-4b1c-9765-04f66d8237d0.g001.jpg.txt,25,17,0,17,8,WR|S|MN|SLAM|MU|E1|P51|GEM|AS|ND|NU|AN|UP|NP|MI|IN|A2,GM|U|MA|RU|KS|MD|MS|NE
PMC2797269__zbc0500995790007.jpg.txt,3,2,0,2,1,ROS|L,ERK1
PMC2797767__1476-4598-8-117-3.jpg.txt,1,1,0,1,0,L,
PMC2798675__JCI37964.f9.jpg.txt,18,15,8,7,3,B|P63|P|MEN|L|P2|H,IA|HE|J
PMC2798676__JCI38012.f10.jpg.txt,8,6,1,5,2,CAN|S|Y|H|X,D1|CA
PMC2798896__09_97_xiangf2.jpg.txt,8,7,6,1,1,CO,CELL
PMC2799352__pp1520133f09.jpg.txt,4,4,0,4,0,X|MAM|RS|S1,
PMC2800199__nihms165903f1.jpg.txt,1,0,0,0,1,,CELL
PMC2801368__psb0410_0983_fig001.jpg.txt,0,0,0,0,0,,
PMC2801866__nihms162154f4.jpg.txt,0,0,0,0,0,,
PMC2802896__zmg0011045730009.jpg.txt,2,1,1,0,1,,SOUL
PMC2804830__bire-80-04-16-f09.jpg.txt,6,5,2,3,1,IN|L|OF,CELL
PMC2805009__nihms163580f1.jpg.txt,6,4,2,2,2,TOR|CD25,U|NF-KB
PMC2806014__aging-01-281-g001.jpg.txt,4,1,0,1,3,PHK,MS|RAPA|GM
PMC2806057__nihms111638f4.jpg.txt,8,6,2,4,2,S|ASC|N-WASP|PM,E|GM
PMC2806100__zh30011055600007.jpg.txt,4,3,0,3,1,B|P53|Z,J
PMC2806747__pnas.0912937107fig01.jpg.txt,0,0,0,0,0,,
PMC2807212__cb-2009-00249y_0001.jpg.txt,1,0,0,0,1,,U
PMC2807212__cb-2009-00249y_0002.jpg.txt,3,2,0,2,1,CSL|Y,U
PMC2807212__cb-2009-00249y_0007.jpg.txt,4,4,2,2,0,L|Y,
PMC2807288__zbc0071003560007.jpg.txt,0,0,0,0,0,,
PMC2807333__zbc0051002020012.jpg.txt,3,1,0,1,2,AN,E|U
PMC2807379__nihms166563f6.jpg.txt,10,9,7,2,1,B|L,CA2
PMC2807379__nihms166563f8.jpg.txt,0,0,0,0,0,,
PMC2807436__1752-0509-3-118-3.jpg.txt,3,3,0,3,0,L|Z|AP,
PMC2808051__ijbsv06p0009g01.jpg.txt,3,2,0,2,1,MAM|AN,MS
PMC2808458__nihms-147724-f0001.jpg.txt,1,0,0,0,1,,CELL
PMC2808458__nihms-147724-f0002.jpg.txt,0,0,0,0,0,,
PMC2809802__nihms-162035-f0001.jpg.txt,3,1,0,1,2,B,II|E
PMC2810260__nihms-169743-f0006.jpg.txt,1,1,1,0,0,,
PMC2810550__nihms165753f2.jpg.txt,0,0,0,0,0,,
PMC2810618__nihms-168399-f0008.jpg.txt,3,3,0,3,0,ON|Z|P,
PMC2810629__nihms-134009-f0001.jpg.txt,4,2,1,1,2,EMT,IV|R
PMC2811493__nihms152036f5.jpg.txt,4,4,1,3,0,MSC|IL-17|Z,
PMC2812679__nihms-160238-f0011.jpg.txt,5,4,2,2,1,ER|PM,U
PMC2813230__1471-213X-9-74-4.jpg.txt,15,10,2,8,5,Y|H|UP|PAP|P6|P|P9|MOP,SEM|GM|FATE|HOOK|II
PMC2813409__nihms150379f4.jpg.txt,21,14,2,12,7,LPS|AM|OF|P|ON|AN|Z|MU|S|CO|AS|GEM,U|J|MICE|CTL|R|CA|NAN
PMC2814417__nihms169815f7.jpg.txt,5,5,1,4,0,B|P|C-MYC|P21,
PMC2814769__nihms168162f4.jpg.txt,5,3,0,3,2,B|OF|L,EL|E
PMC2814769__nihms168162f5.jpg.txt,8,4,2,2,4,VCP|NU,CA|E|AU|J
PMC2814867__pone.0009024.g007.jpg.txt,0,0,0,0,0,,
PMC2814921__nihms-160240-f0004.jpg.txt,12,7,0,7,5,FAN|OF|B|S|NU|AN|TARA,INA|E|GM|RU|JAM
PMC2815016__nihms140466f4.jpg.txt,4,1,0,1,3,X,IL-6|IL-8|R
PMC2815088__nihms-136354-f0003.jpg.txt,6,2,0,2,4,P|SE,E|GOA|UTP|CN
PMC2815088__nihms-136354-f0004.jpg.txt,12,7,5,2,5,P|S,GP|NAF|RED|OR|R
PMC2815562__zmb9991084670009.jpg.txt,1,1,0,1,0,X,
PMC2817017__95179.fig2.jpg.txt,2,1,0,1,1,IN,U
PMC2817626__zee0021051760006.jpg.txt,3,2,0,2,1,MU|ON,E3
PMC2818861__nihms-167495-f0001.jpg.txt,7,7,1,6,0,X|P|GA|Y|CAN|VEGF,
PMC2819049__nihms169163f3.jpg.txt,5,2,0,2,3,ON|X,E|ANA|CELL
PMC2819343__nihms-173131-f0003.jpg.txt,9,7,4,3,2,AM|P|BCL-2,U|JN
PMC2819435__psb0412_1117_fig001.jpg.txt,2,0,0,0,2,,GD|E
PMC2820199__12263_2009_152_Fig4_HTML.jpg.txt,0,0,0,0,0,,
PMC2820418__zmk0041093580012.jpg.txt,4,3,0,3,1,LPA|P|OF,E3
PMC2820430__zmk0041093560008.jpg.txt,1,0,0,0,1,,CA
PMC2820725__nihms171073f4.jpg.txt,7,6,1,5,1,ROS|PTP|AM|ON|SAT,CELL
PMC2821978__nihms150136f3.jpg.txt,0,0,0,0,0,,
PMC2822470__nihms173999f8.jpg.txt,7,5,1,4,2,L|X|H|PTK,J|E
PMC2822851__pone.0009256.g001.jpg.txt,1,1,0,1,0,Y,
PMC2822851__pone.0009256.g002.jpg.txt,3,2,0,2,1,TYP|ON,FA
PMC2823981__nihms167862f5.jpg.txt,3,2,0,2,1,C-FOS|YB-1,E
PMC2824233__sgas44-462-f3.jpg.txt,3,3,0,3,0,H|L|B,
PMC2824373__pnas.0907907107fig06.jpg.txt,0,0,0,0,0,,
PMC2824644__nihms70483f7.jpg.txt,4,4,1,3,0,NEMO|P65|P50,
PMC2825052__nihms-166476-f0003.jpg.txt,4,1,0,1,3,NU,U|MA|J
PMC2825570__nihms160203f1.jpg.txt,0,0,0,0,0,,
PMC2825653__JBB2010-795385.005.jpg.txt,6,3,0,3,3,MK|AN|MN,U|MX|R
PMC2826040__zjv9990930120004.jpg.txt,4,2,0,2,2,Y|MEN,GE|SUN
PMC2826040__zjv9990930120005.jpg.txt,7,5,0,5,2,X|AM|GPCR|NET|L,CA2|GAN
PMC2826191__nihms78785f2.jpg.txt,0,0,0,0,0,,
PMC2826372__pbio.1000313.g010.jpg.txt,4,2,0,2,2,AN|Y,J|NE
PMC2826877__PPAR2009-818945.002.jpg.txt,4,3,1,2,1,L|AN,EL
PMC2827874__nihms-177952-f0004.jpg.txt,4,4,2,2,0,L|X,
PMC282807__015685f7.jpg.txt,3,2,1,1,1,R1,J
PMC2828612__nihms-178826-f0001.jpg.txt,8,7,4,3,1,UPS|OF|IN,PARKIN
PMC2829096__intimmdxp128f02_4c.jpg.txt,8,7,0,7,1,S|PA|P|RP|TYPE|QR|MLL,NS
PMC2830121__zpg0010922590005.jpg.txt,2,2,1,1,0,S,
PMC2830483__pone.0009494.g007.jpg.txt,0,0,0,0,0,,
PMC2831143__nihms171876f2.jpg.txt,14,6,1,5,8,X|MU|B|TOR|TOM,U|II|PRR7|IA|TUBE|MS|MLK|DPL
PMC2831168__nihms163781f1.jpg.txt,1,1,0,1,0,L,
PMC2832169__gr6.jpg.txt,1,1,0,1,0,REF,
PMC2832945__zbc0141009460007.jpg.txt,6,3,2,1,3,CALL,U|MUD|SUN
PMC2833197__pone.0009575.g007.jpg.txt,5,5,3,2,0,IRE1|PERK,
PMC2833214__nihms157116f2.jpg.txt,5,4,0,4,1,STR|S|ACT|L,ST
PMC2834552__asn0021042730011.jpg.txt,2,2,1,1,0,RAGE,
PMC2834553__asn0021042760012.jpg.txt,0,0,0,0,0,,
PMC2834616__1752-0509-4-10-4.jpg.txt,3,1,0,1,2,NU,U|E
PMC2834833__nihms153308f3.jpg.txt,8,6,2,4,2,X|AMPK|P|AS,E|U
PMC2835321__DEV038711F5.jpg.txt,0,0,0,0,0,,
PMC2835958__psb0501_0053_fig002.jpg.txt,1,0,0,0,1,,ARRS
PMC283607__pq2336152006.jpg.txt,3,2,2,0,1,,CELL
PMC2837985__zek9990934960009.jpg.txt,0,0,0,0,0,,
PMC2838237__nihms-174338-f0001.jpg.txt,0,0,0,0,0,,
PMC2838377__nihms150685f1.jpg.txt,0,0,0,0,0,,
PMC2838378__nihms180949f1.jpg.txt,4,3,0,3,1,AM|X|OF,R
PMC2838407__tx-2009-003193_0002.jpg.txt,6,4,0,4,2,HO|ASK1|P33|JNK1,PHOSPHO|CELL
PMC2840099__pnas.1000300107fig07.jpg.txt,3,3,1,2,0,L|SI,
PMC2840158__pnas.0913860107fig06.jpg.txt,1,0,0,0,1,,J
PMC2841156__1475-2867-10-3-7.jpg.txt,12,9,0,9,3,L|ON|OF|B|X|CAR|ARM|ERK|NMB,P27|MS|II
PMC2841319__nihms184270f1.jpg.txt,11,7,3,4,4,S|ON|ICAM|B,MA|POEM|CELL|U
PMC2841699__nihms176202f8.jpg.txt,7,6,2,4,1,LPA|VEGF|VEGFR2|LPA1,LPC
PMC2842040__pnas.0906384107fig05.jpg.txt,7,5,2,3,2,GAS|CNA|P,MA|CELL
PMC2842525__WJG-16-1337-g002.jpg.txt,0,0,0,0,0,,
PMC2842969__MI2009-698769.005.jpg.txt,0,0,0,0,0,,
PMC2843003__nihms-167001-f0003.jpg.txt,2,2,0,2,0,ANG2|PA,
PMC2843172__zbc0151009850008.jpg.txt,4,4,0,4,0,PEK|CYC|IN|ON,
PMC2843459__zjh0041085130011.jpg.txt,3,1,0,1,2,L,II|ITI
PMC2844640__nihms-183419-f0001.jpg.txt,4,3,1,2,1,CALL|X,TED
PMC2844640__nihms-183419-f0003.jpg.txt,2,2,0,2,0,OF|S,
PMC28451__pq2572499007.jpg.txt,1,0,0,0,1,,LIGHT
PMC2845642__nihms186801f3.jpg.txt,0,0,0,0,0,,
PMC2846156__zpg0020922640003.jpg.txt,3,3,0,3,0,MU|IN|L,
PMC2846172__nihms160559f5.jpg.txt,4,2,0,2,2,OF|EMT,NG|E
PMC2847371__nihms168983f1.jpg.txt,6,4,3,1,2,DELTA,E|GE
PMC2847468__DEV045971F6.jpg.txt,1,0,0,0,1,,J
PMC2848118__JCS056176F9.jpg.txt,7,3,0,3,4,Z|MU|MAM,U|CAL|MS|GM
PMC2848195__1752-0509-4-20-1.jpg.txt,1,0,0,0,1,,E
PMC2848195__1752-0509-4-20-3.jpg.txt,0,0,0,0,0,,
PMC2854204__nihms160856f2.jpg.txt,1,1,0,1,0,TOR,
PMC2855089__MI2010-823821.002.jpg.txt,0,0,0,0,0,,
PMC2855202__nihms-155216-f0003.jpg.txt,0,0,0,0,0,,
PMC2856263__zbc0171011300006.jpg.txt,5,3,2,1,2,L,E2|E
PMC2856666__nihms103715f4.jpg.txt,12,8,1,7,4,PA|Z|RL|Y|P|IF|L,E|E2|U|OR
PMC2856826__WJG-15-1859-g005.jpg.txt,6,5,1,4,1,B|L|MR|X,SAX
PMC2857176__cshperspect-PFT-001032_F3.jpg.txt,0,0,0,0,0,,
PMC2857326__ukmss-4266-f0007.jpg.txt,7,4,0,4,3,P|BAK|PM|C-FLIP,BCR|II|U
PMC2857646__nihms191420f1.jpg.txt,0,0,0,0,0,,
PMC2857923__nihms169178f5.jpg.txt,4,3,0,3,1,L|S|H,D1
PMC2858442__msb20106-f3.jpg.txt,0,0,0,0,0,,
PMC2858875__nihms185641f3.jpg.txt,5,3,0,3,2,S|DOD|ND,U|16
PMC2859534__zbc0201014560007.jpg.txt,3,2,0,2,1,PM|P,WEE
PMC2859609__1128-2460.27.025.fig1.jpg.txt,0,0,0,0,0,,
PMC2860273__nihms170797f1.jpg.txt,6,5,0,5,1,L|ON|OF|SNAH|S,RU
PMC2860309__nihms191392f1.jpg.txt,6,4,0,4,2,UP|IN|AM|NU,E|LA
PMC2860937__JCI43030.f1.jpg.txt,0,0,0,0,0,,
PMC2861899__nihms183832f7.jpg.txt,5,5,0,5,0,PKC|MEK1|MEK4|MEK3|ERK2,
PMC2861953__fig-2.jpg.txt,11,8,3,5,3,Y|WR|X|Z|P,CELL|MX|E
PMC2862093__nihms191985f6.jpg.txt,4,2,0,2,2,GPCR|AM,NA|U
PMC2862420__pp153601F02_RGB.jpg.txt,2,0,0,0,2,,LA|R
PMC2862916__10162_2009_205_Fig8_HTML.jpg.txt,0,0,0,0,0,,
PMC2862933__nem184f3.jpg.txt,0,0,0,0,0,,
PMC2863215__zbc0231016410002.jpg.txt,2,2,0,2,0,MU|RL,
PMC2864782__nihms197972f1.jpg.txt,9,6,0,6,3,IN|OF|Y|P|PKG|DAG,CA|PHOSPHO|PIP
PMC2864807__09_173_.de_ref2.jpg.txt,1,1,0,1,0,TR,
PMC2865148__nihms195527f1.jpg.txt,3,2,0,2,1,IKK|GR,J
PMC2865574__nihms168601f3.jpg.txt,4,3,1,2,1,SURVIVIN|S1,D1
PMC2866141__nihms192885f4.jpg.txt,1,0,0,0,1,,J
PMC2867239__nihms-199205-f0002.jpg.txt,4,4,1,3,0,L|B|X,
PMC2868430__z7g9990902990004.jpg.txt,3,2,0,2,1,PA|B,PAL
PMC2869087__nihms201649f1.jpg.txt,0,0,0,0,0,,
PMC2869094__nihms180614f1.jpg.txt,7,7,5,2,0,H|ON,
PMC2869339__1710-1492-4-1-37-9.jpg.txt,2,1,0,1,1,CAM,J
PMC2869518__cshperspect-IMS-002485_F3.jpg.txt,8,5,1,4,3,B|X|L|CAN,FOR|E|JNK
PMC2869521__cshperspect-NFK-000109_F1.jpg.txt,1,1,0,1,0,MU,
PMC2871634__gnl-1-101-g004.jpg.txt,4,2,0,2,2,CAN|NU,MA|J
PMC2872116__nihms193429f2.jpg.txt,0,0,0,0,0,,
PMC2872116__nihms193429f4.jpg.txt,0,0,0,0,0,,
PMC2872207__fig-3.jpg.txt,0,0,0,0,0,,
PMC2872207__fig-4.jpg.txt,4,3,1,2,1,L|MU,RH
PMC2872423__pnas.0910060107fig07.jpg.txt,6,4,2,2,2,B|ON,CH|MS
PMC2872667__pone.0010692.g002.jpg.txt,0,0,0,0,0,,
PMC2872881__gb-2010-11-2-r21-1.jpg.txt,8,6,0,6,2,Z|AM|MU|Y|S|X,NM|CHM
PMC2872883__gb-2010-11-2-r23-1.jpg.txt,0,0,0,0,0,,
PMC2873319__1752-0509-4-50-6.jpg.txt,8,6,1,5,2,B|IN|X|MU|KN,R|U
PMC2873688__nihms201344f1.jpg.txt,3,3,1,2,0,PL|PTP,
PMC2873688__nihms201344f3.jpg.txt,7,5,1,4,2,TYPE|P85|PL|AS,R|E
PMC2873688__nihms201344f4.jpg.txt,8,7,1,6,1,LAD|P|H|B|MKK4|OF,R
PMC2873859__nihms165015f5.jpg.txt,1,0,0,0,1,,CELL
PMC2875095__zh89991052540001.jpg.txt,4,3,0,3,1,Y|ON|S,GNA
PMC2875624__ar2896-1.jpg.txt,3,3,1,2,0,L4|SMAD1,
PMC2875818__zee0061053620008.jpg.txt,6,2,2,0,4,,LH|E|MT|RC1
PMC2876247__MI2010-367838.002.jpg.txt,1,0,0,0,1,,U
PMC2877705__pone.0010859.g007.jpg.txt,6,5,3,2,1,P|L,PIP
PMC2878172__ijbsv06p0268g01.jpg.txt,1,1,0,1,0,Z,
PMC2878172__ijbsv06p0268g02.jpg.txt,6,4,0,4,2,MU|MAM|L3|LU,MY|R
PMC2878296__1747-1028-5-13-2.jpg.txt,2,0,0,0,2,,J|II
PMC2878570__zbc0261019240001.jpg.txt,7,4,0,4,3,B|H|X|L,PAL|E|MIN
PMC2880953__nihms195329f1.jpg.txt,7,4,1,3,3,S|ALDH|Y,CRB|NA|RDHS
PMC2881135__GEN1852537f4.jpg.txt,1,1,0,1,0,B,
PMC2881284__psb0503_0300_fig001.jpg.txt,3,1,0,1,2,CAN,E|GO
PMC2881512__aging-02-238-g001.jpg.txt,0,0,0,0,0,,
PMC2881761__zbc0261018540008.jpg.txt,0,0,0,0,0,,
PMC2882367__pone.0011014.g009.jpg.txt,5,3,1,2,2,X|IN,VIII|U
PMC2883292__nihms205988f2.jpg.txt,2,1,1,0,1,,R
PMC2883312__nihms-191662-f0005.jpg.txt,5,3,0,3,2,CRF1|RS|CYC,FOR|FAST
PMC2883790__nihms183051f2.jpg.txt,4,1,0,1,3,P,E|CELL|SUN
PMC2884124__psb0502_0160_fig001.jpg.txt,0,0,0,0,0,,
PMC2884164__1755-8794-3-13-10.jpg.txt,1,1,0,1,0,S,
PMC2884164__1755-8794-3-13-13.jpg.txt,5,2,0,2,3,P38|Y,U|MA|R
PMC2884164__1755-8794-3-13-4.jpg.txt,0,0,0,0,0,,
PMC2884164__1755-8794-3-13-8.jpg.txt,1,1,0,1,0,MAC,
PMC2884164__1755-8794-3-13-9.jpg.txt,11,7,1,6,4,MAM|S|MAR|L|P|ET,R|RGN|EL|OR
PMC2885101__ijms-11-02188f2.jpg.txt,1,0,0,0,1,,R
PMC2885137__nihms203801f4.jpg.txt,1,0,0,0,1,,LI
PMC2885580__nihms-193346-f0009.jpg.txt,0,0,0,0,0,,
PMC2885591__nihms208471f2.jpg.txt,0,0,0,0,0,,
PMC2885864__eplasty10e42_fig1.jpg.txt,4,4,0,4,0,SGC|ON|PKG|GMP,
PMC2886156__nihms195114f3.jpg.txt,6,4,1,3,2,AM|L|S,V2|U
PMC2886325__ott-2-135f3.jpg.txt,2,1,0,1,1,L,E
PMC2886346__JCB_200912082_RGB_Fig10.jpg.txt,6,3,1,2,3,L|MU,U|E|ERGIC
PMC2886346__JCB_200912082_RGB_Fig2.jpg.txt,3,3,0,3,0,ANM|MU|MI,
PMC2888385__zbc0291022120006.jpg.txt,4,3,3,0,1,,CEL
PMC2888472__nihms207791f2.jpg.txt,7,7,3,4,0,AM|S|AD1|SMAD1,
PMC2888582__pone.0011240.g006.jpg.txt,1,0,0,0,1,,XM
PMC2888582__pone.0011240.g007.jpg.txt,0,0,0,0,0,,
PMC2888641__nihms196795f2.jpg.txt,7,6,1,5,1,MU|AM|A4|TN|VEGF,NA
PMC2888641__nihms196795f3.jpg.txt,1,1,0,1,0,AS,
PMC2888945__nihms136601f3.jpg.txt,8,7,1,6,1,FAN|L|AA|IF|AN|AS,U
PMC2889938__1471-2105-11-308-4.jpg.txt,0,0,0,0,0,,
PMC2889938__1471-2105-11-308-5.jpg.txt,1,1,0,1,0,LPS,
PMC2890228__nihms37993f1.jpg.txt,0,0,0,0,0,,
PMC2890293__nihms-213082-f0001.jpg.txt,2,1,0,1,1,MCP,ADP
PMC2890502__1752-0509-4-72-4.jpg.txt,0,0,0,0,0,,
PMC2890584__pone.0011278.g002.jpg.txt,5,3,1,2,2,IP|ON,MICE|GAL
PMC2890584__pone.0011278.g006.jpg.txt,2,1,0,1,1,PKG,U
PMC2891025__nihms-198850-f0006.jpg.txt,0,0,0,0,0,,
PMC2891200__nihms108036f3.jpg.txt,3,2,1,1,1,PG2,J
PMC2891218__nihms168087f7.jpg.txt,11,7,1,6,4,CB1|L|AM|ON|AN|X,OR|HFL|J|TUT
PMC2891586__pcbi.1000807.g003.jpg.txt,1,1,0,1,0,Y,
PMC2891859__nihms167873f1.jpg.txt,14,12,4,8,2,NCAM|TRKB|P75NTR|L|PKC|MEK|NADE|ERK,HE|JNK
PMC2891946__nihms182803f7.jpg.txt,0,0,0,0,0,,
PMC2893682__zjh0071086730007.jpg.txt,1,1,0,1,0,MU,
PMC2893887__nihms197252f7.jpg.txt,6,3,1,2,3,Y|L,OR|U|CELL
PMC2893997__zmk0131094950007.jpg.txt,0,0,0,0,0,,
PMC2894844__1471-2202-11-74-7.jpg.txt,5,4,1,3,1,B|OF|TAU,CELL
PMC2895421__nihms-212355-f0002.jpg.txt,0,0,0,0,0,,
PMC2895628__1471-2164-11-320-5.jpg.txt,8,5,1,4,3,AN|MR|MU|SSA,HR|MA|R
PMC2896660__JBB2010-236528.002.jpg.txt,0,0,0,0,0,,
PMC2897908__nihms-209662-f0002.jpg.txt,0,0,0,0,0,,
PMC2897923__nihms188775f1.jpg.txt,0,0,0,0,0,,
PMC2897923__nihms188775f2.jpg.txt,2,2,2,0,0,,
PMC2899674__nihms-209954-f0001.jpg.txt,8,5,1,4,3,CRLR|L|DEP1|PROX1,DIM|SOX18|J
PMC2899688__nihms214620f9.jpg.txt,8,5,1,4,3,S|PKC|AN|R1,ALIEN|R2|RX
PMC2899694__nihms213803f1.jpg.txt,5,3,0,3,2,L|MU|PH,J|U
PMC2899694__nihms213803f6.jpg.txt,2,1,0,1,1,S,NG
PMC2900623__cam0402_0255_fig003.jpg.txt,9,9,1,8,0,AN|ON|B|L|AC|AS|PUMA|LN,
PMC2901141__ddq20807.jpg.txt,11,7,2,5,4,OB|A1|B1|C1|A2,MS|L8|II|R
PMC2901320__1471-2164-11-388-5.jpg.txt,2,1,1,0,1,,NG
PMC2901811__org0602_0076_fig004.jpg.txt,1,1,1,0,0,,
PMC2901811__org0602_0076_fig006.jpg.txt,4,4,1,3,0,MAM|L|WARTS,
PMC2902748__JO2010-412985.001.jpg.txt,0,0,0,0,0,,
PMC2902905__mplantssn069f01_4c.jpg.txt,6,4,0,4,2,RN|P|S|MAM,RU|R
PMC2904107__zh30071056830012.jpg.txt,2,2,0,2,0,L|ON,
PMC2904940__1496fig7.jpg.txt,0,0,0,0,0,,
PMC2905036__nihms-183350-f0002.jpg.txt,8,7,3,4,1,SI|TFR1|HFE|SMAD1,ERK1
PMC2905467__nihms191589f2.jpg.txt,6,5,2,3,1,EPI|B2AR|ASM,KO
PMC2905627__nihms217549f7.jpg.txt,2,2,0,2,0,C-FOS|S,
PMC2905744__nihms220184f3.jpg.txt,3,2,1,1,1,X,CELL
PMC2906687__nihms-190496-f0002.jpg.txt,5,3,2,1,2,CAM,HOA|CA
PMC2907396__pone.0011671.g003.jpg.txt,0,0,0,0,0,,
PMC2908610__1475-2867-10-22-1.jpg.txt,3,1,0,1,2,L,CELL|OP
PMC2908618__pone.0011716.g007.jpg.txt,0,0,0,0,0,,
PMC2909145__pone.0011568.g001.jpg.txt,0,0,0,0,0,,
PMC2909662__nihms219568f1.jpg.txt,3,3,0,3,0,L|B|IFN,
PMC2910246__nihms-208519-f0008.jpg.txt,7,4,0,4,3,SON|AN|PR|ROS,KY|R|E
PMC2910980__PC.073874.wc.f12.jpg.txt,5,3,1,2,2,OF|B,B2|OR
PMC2911501__nihms194310f2.jpg.txt,10,7,5,2,3,Y|CAM,SWAN|SUN|U
PMC2912031__mvq043f4.jpg.txt,0,0,0,0,0,,
PMC2912204__JCI44026.f1.jpg.txt,1,0,0,0,1,,CEN
PMC2912210__nihms216665f1.jpg.txt,0,0,0,0,0,,
PMC2912609__nihms194918f2.jpg.txt,12,9,3,6,3,S|AS|VEGF|VEGFR|MU|X,R|CELL|E
PMC2913337__zjh0081087040002.jpg.txt,0,0,0,0,0,,
PMC2913371__zjh0081086850008.jpg.txt,0,0,0,0,0,,
PMC2913378__zjh0081087330003.jpg.txt,3,1,1,0,2,,NAN|UI
PMC2913455__zh89991052990007.jpg.txt,2,2,0,2,0,X|MU,
PMC2913631__PPAR2010-341671.003.jpg.txt,0,0,0,0,0,,
PMC2913769__zpt0081090420009.jpg.txt,3,3,0,3,0,ERA|ER|BCRP,
PMC2917029__bcr2588-8.jpg.txt,1,1,0,1,0,P4,
PMC2917731__iaa0152-0101-f01.jpg.txt,0,0,0,0,0,,
PMC2918404__nihms215799f8.jpg.txt,6,3,3,0,3,,HS|CELL|ECM
PMC2919000__zjv999093535008a.jpg.txt,5,3,2,1,2,IPF1,E|IFI44
PMC2919048__pone.0012016.g007.jpg.txt,11,7,0,7,4,MAM|PM|AM|IN|AN|NU|X,MS|NM|E|XM
PMC2919057__nihms212787f9.jpg.txt,8,8,2,6,0,B1|P|DPI|OF|LIP|L,
PMC2919275__nihms212450f2.jpg.txt,4,1,0,1,3,BCL-XL,E|IL-2|CELL
PMC2919348__nihms223413f1.jpg.txt,6,5,0,5,1,L|FAT|MR|SK|B,HU
PMC2919351__nihms-221725-f0001.jpg.txt,7,3,0,3,4,P|PI|L,LAX|J|FA|NA
PMC2919366__nihms109428f4.jpg.txt,8,5,1,4,3,TYK|S|P|MCP-1,E|IV|IL-6
PMC2919655__nihms195420f3.jpg.txt,3,3,1,2,0,MR|IL-17RA,
PMC2921074__nihms25473f1.jpg.txt,6,3,2,1,3,ACH,OR|CELL|IL-6
PMC2923187__pone.0012222.g008.jpg.txt,5,3,0,3,2,S|WR|L,R|U
PMC2923204__nihms216902f2.jpg.txt,25,22,8,14,3,OF|B|Y|P|CAE|AC|PSD-95|TRKB|X|ERK|MK|ER|S|CAMKI,J|ARC|HOMER
PMC2923360__z380091079210008.jpg.txt,0,0,0,0,0,,
PMC2923586__nihms223756f1.jpg.txt,11,5,4,1,6,X,RANK|G2|G4|G5|G3|16
PMC2923715__467_2009_1416_Fig5_HTML.jpg.txt,7,4,2,2,3,NPHP2|TRA,NPHP3|JNK|CELL
PMC2923852__nihms-208591-f0001.jpg.txt,0,0,0,0,0,,
PMC2923990__zbc0351027670007.jpg.txt,2,2,0,2,0,OF|L,
PMC2925626__zh89990943790003.jpg.txt,0,0,0,0,0,,
PMC2928279__pone.0012405.g002.jpg.txt,5,3,0,3,2,S|L|SCF,I-4|U
PMC2928401__nihms223339f8.jpg.txt,0,0,0,0,0,,
PMC2929604__GRP2010-537263.001.jpg.txt,0,0,0,0,0,,
PMC2929951__pone.0012385.g008.jpg.txt,10,5,0,5,5,ALS|OF|AN|L|MI,NA|NL|R|IV|MVP
PMC2930606__nihms230262f1.jpg.txt,9,7,1,6,2,MR|L|AC5|Y|DAG|P,D2|ERK1
PMC2930641__1748-7188-5-30-2.jpg.txt,0,0,0,0,0,,
PMC2930805__carcinbgq142f01_ht.jpg.txt,0,0,0,0,0,,
PMC2930854__pone.0012486.g010.jpg.txt,1,1,0,1,0,Z,
PMC2932543__fig-8.jpg.txt,1,1,0,1,0,X,
PMC2932783__nihms218170f1.jpg.txt,11,8,2,6,3,AS|MI|Y|ERK|L|ROS,J|U|NF-KB
PMC2932971__1893fig1.jpg.txt,1,1,0,1,0,NU,
PMC2933166__fig-4.jpg.txt,3,2,0,2,1,AA|PS,E
PMC2933269__nihms210942f1.jpg.txt,2,2,0,2,0,B|ALK4,
PMC2933676__1423-0127-17-69-3.jpg.txt,13,10,3,7,3,ND|L|Z|IN|OF|INT|GEM,EL|U|LAN
PMC2933845__10555_2010_9238_Fig4_HTML.jpg.txt,4,2,1,1,2,X,J|U
PMC2934865__nihms222776f2.jpg.txt,0,0,0,0,0,,
PMC2935318__nihms231869f6.jpg.txt,0,0,0,0,0,,
PMC2935335__fig-1.jpg.txt,0,0,0,0,0,,
PMC2935335__fig-2.jpg.txt,3,3,2,1,0,L,
PMC2935335__fig-3.jpg.txt,3,2,0,2,1,H|P,MAFK
PMC2936618__pnas.1007909107fig05.jpg.txt,7,4,1,3,3,B|IN|PTP,J|15-LOX|E
PMC2937009__nihms227825f2.jpg.txt,6,5,0,5,1,L|P|P3|MEK|ERK,CELL
PMC2937064__nihms218132f1.jpg.txt,10,8,5,3,2,GH|FKHR|FASL,T3|J
PMC2937064__nihms218132f3.jpg.txt,9,6,1,5,3,L|SI|IN|S|OF,OR|FOR|LOR
PMC2938013__nihms-224788-f0009.jpg.txt,0,0,0,0,0,,
