file,"hgnc hits","on wp_all","on wp_hs","new wp_all","new wp_hs","new hits to wp_all","new hits only to wp_hs"
PMC2847371__nihms168983f1.txt,5,4,2,1,2,R,DELTA|S2
PMC2847468__DEV045971F6.txt,1,1,0,0,1,,EP4
PMC2848118__JCS056176F9.txt,4,2,1,2,1,KSRP|R,ON
PMC2848195__1752-0509-4-20-1.txt,1,1,1,0,0,,
PMC2848195__1752-0509-4-20-3.txt,0,0,0,0,0,,
PMC2854204__nihms160856f2.txt,6,4,0,2,4,DEPTOR|R,B|PRAS40|TOR|L
PMC2855089__MI2010-823821.002.txt,7,4,1,3,3,J|II|LIS,NIK|IKKA|IKK
PMC2855202__nihms-155216-f0003.txt,3,2,0,1,2,TES,YT|TS
PMC2856263__zbc0171011300006.txt,3,2,1,1,1,NF-KB,L
PMC2856666__nihms103715f4.txt,12,7,0,5,7,J|E|U|KCS1|VIP1,B|X|PTC3|SI|S|L|PLC1
PMC2856826__WJG-15-1859-g005.txt,4,4,1,0,3,,SLP|PI3K|ERK
PMC2857176__cshperspect-PFT-001032_F3.txt,0,0,0,0,0,,
PMC2857326__ukmss-4266-f0007.txt,10,7,2,3,5,BCR|BIM|SIK,C-FLIP|FR|MCL-1|APAF-1|BAK
PMC2857646__nihms191420f1.txt,0,0,0,0,0,,
PMC2857923__nihms169178f5.txt,0,0,0,0,0,,
PMC2858442__msb20106-f3.txt,3,1,0,2,1,LI|II,L
PMC2858875__nihms185641f3.txt,5,3,0,2,3,NM|16,B|Y|MCP
PMC2859534__zbc0201014560007.txt,13,8,4,5,4,PEP|E|NA|J|LP,L|IP|P|PKC
PMC2859609__1128-2460.27.025.fig1.txt,2,1,0,1,1,DOK-7,S
PMC2860273__nihms170797f1.txt,5,4,1,1,3,E,OF|HIF-1|H
PMC2860309__nihms191392f1.txt,4,2,1,2,1,SOSTDC1|MADCAM1,L
PMC2860937__JCI43030.f1.txt,2,1,0,1,1,CELL,S
PMC2861899__nihms183832f7.txt,8,8,1,0,7,,ERK2|L|PKC|MEKK1|MEK3|P38|RK
PMC2861953__fig-2.txt,11,9,6,2,3,U|E,SRA|PKC|L
PMC2862093__nihms191985f6.txt,0,0,0,0,0,,
PMC2862420__pp153601F02_RGB.txt,0,0,0,0,0,,
PMC2862916__10162_2009_205_Fig8_HTML.txt,7,4,1,3,3,II|R|CELL,IN|L|SUP
PMC2862933__nem184f3.txt,9,5,2,4,3,E|R|J|MA,P|L|Y
PMC2863215__zbc0231016410002.txt,0,0,0,0,0,,
PMC2864782__nihms197972f1.txt,9,6,1,3,5,R|J|CA,IN|OF|P|PKC|DAG
PMC2864807__09_173_.de_ref2.txt,4,4,2,0,2,,PPAR|L
PMC2865148__nihms195527f1.txt,3,1,0,2,1,J|R,L
PMC2865574__nihms168601f3.txt,5,4,2,1,2,R,OCT4|SURVIVIN
PMC2866141__nihms192885f4.txt,2,2,0,0,2,,GM-CSF|TL1
PMC2867239__nihms-199205-f0002.txt,4,4,3,0,1,,B
PMC2868430__z7g9990902990004.txt,3,0,0,3,0,PAL|PAIS|PACE,
PMC2869087__nihms201649f1.txt,0,0,0,0,0,,
PMC2869094__nihms180614f1.txt,1,1,0,0,1,,P
PMC2869339__1710-1492-4-1-37-9.txt,3,1,0,2,1,R|IGH,H
PMC2869518__cshperspect-IMS-002485_F3.txt,7,6,1,1,5,J,L|OT|P38|MEK|ERK
PMC2869521__cshperspect-NFK-000109_F1.txt,5,4,2,1,2,BCR,B|OF
PMC2871634__gnl-1-101-g004.txt,4,4,2,0,2,,L|CER
PMC2872116__nihms193429f2.txt,0,0,0,0,0,,
PMC2872116__nihms193429f4.txt,0,0,0,0,0,,
PMC2872207__fig-3.txt,7,4,3,3,1,IL-6|ERIC|SHP2,CT-1
PMC2872207__fig-4.txt,6,5,3,1,2,J,P|L
PMC2872423__pnas.0910060107fig07.txt,11,8,3,3,5,E|T1|R,H|AC|Y|S|L
PMC2872667__pone.0010692.g002.txt,1,0,0,1,0,E,
PMC2872881__gb-2010-11-2-r21-1.txt,0,0,0,0,0,,
PMC2872883__gb-2010-11-2-r23-1.txt,1,1,0,0,1,,B
PMC2873319__1752-0509-4-50-6.txt,13,7,3,6,4,II|U|R|J|UL|LA,B|PI|S|P
PMC2873688__nihms201344f1.txt,4,2,0,2,2,R|NS,OF|S
PMC2873688__nihms201344f3.txt,6,5,0,1,5,R,TYPE|L|B|S|P
PMC2873688__nihms201344f4.txt,2,1,0,1,1,J,OF
PMC2873859__nihms165015f5.txt,4,2,0,2,2,GAL|CELL,SLT|Y
PMC2875095__zh89991052540001.txt,0,0,0,0,0,,
PMC2875624__ar2896-1.txt,2,2,1,0,1,,L
PMC2875818__zee0061053620008.txt,0,0,0,0,0,,
PMC2876247__MI2010-367838.002.txt,5,3,2,2,1,NF-KB|JNK,L
PMC2877705__pone.0010859.g007.txt,5,5,3,0,2,,PI3K|L
PMC2878172__ijbsv06p0268g01.txt,5,3,3,2,0,R|J,
PMC2878172__ijbsv06p0268g02.txt,0,0,0,0,0,,
PMC2878296__1747-1028-5-13-2.txt,2,1,1,1,0,L1,
PMC2878570__zbc0261019240001.txt,5,3,1,2,2,PAL|MIN,B|H
PMC2880953__nihms195329f1.txt,7,4,2,3,2,STRA6|RDHS|CYP26,RAL|L
PMC2881135__GEN1852537f4.txt,2,2,0,0,2,,EFE|SMA
PMC2881284__psb0503_0300_fig001.txt,1,1,0,0,1,,CRN
PMC2881512__aging-02-238-g001.txt,2,1,0,1,1,II,P
PMC2881761__zbc0261018540008.txt,0,0,0,0,0,,
PMC2882367__pone.0011014.g009.txt,8,4,1,4,3,J|L1|R|CELL,CO|P|ON
PMC2883292__nihms205988f2.txt,0,0,0,0,0,,
PMC2883312__nihms-191662-f0005.txt,7,4,1,3,3,FOR|FAST|E,CRF1|P|H
PMC2883790__nihms183051f2.txt,12,11,6,1,5,CELL,P|S|HC|P110|PKC
PMC2884124__psb0502_0160_fig001.txt,0,0,0,0,0,,
PMC2884164__1755-8794-3-13-10.txt,5,4,1,1,3,J,Y|Z|S
PMC2884164__1755-8794-3-13-13.txt,2,1,0,1,1,R,B
PMC2884164__1755-8794-3-13-4.txt,0,0,0,0,0,,
PMC2884164__1755-8794-3-13-8.txt,0,0,0,0,0,,
PMC2884164__1755-8794-3-13-9.txt,2,0,0,2,0,E|OR,
PMC2885101__ijms-11-02188f2.txt,7,5,1,2,4,NE|E,L|NOT|CT|ACT
PMC2885137__nihms203801f4.txt,1,1,0,0,1,,Y
PMC2885580__nihms-193346-f0009.txt,1,0,0,1,0,R,
PMC2885591__nihms208471f2.txt,0,0,0,0,0,,
PMC2885864__eplasty10e42_fig1.txt,4,4,0,0,4,,SGC|PDE|L|GMP
PMC2886156__nihms195114f3.txt,8,5,2,3,3,LI|J|E,B|S|L
PMC2886325__ott-2-135f3.txt,0,0,0,0,0,,
PMC2886346__JCB_200912082_RGB_Fig10.txt,7,6,3,1,3,CNK1,ERK2|END|IN
PMC2886346__JCB_200912082_RGB_Fig2.txt,40,31,13,9,18,IP5K|HS|E|PIP|MA|ACG|R|MCT|INPP4B,B|P|Y|H|IP|REG|M8|PIM1|AR1|PN|ARAF1|AF|L|LT|SYNJ|S|PIK4CA|PIP5K2C
PMC2888385__zbc0291022120006.txt,0,0,0,0,0,,
PMC2888472__nihms207791f2.txt,0,0,0,0,0,,
PMC2888582__pone.0011240.g006.txt,3,3,1,0,2,,Y|P
PMC2888582__pone.0011240.g007.txt,0,0,0,0,0,,
PMC2888641__nihms196795f2.txt,4,3,1,1,2,NE,B|VEGF
PMC2888641__nihms196795f3.txt,1,0,0,1,0,CD138,
PMC2888945__nihms136601f3.txt,16,9,1,7,8,E|CA|R|RTR|DO|U|J,L|B|Y|LT|X|H|AO|A3
PMC2889938__1471-2105-11-308-4.txt,3,2,0,1,2,R,H|L
PMC2889938__1471-2105-11-308-5.txt,0,0,0,0,0,,
PMC2890228__nihms37993f1.txt,1,1,0,0,1,,Y
PMC2890293__nihms-213082-f0001.txt,2,1,0,1,1,ADP,MCP
PMC2890502__1752-0509-4-72-4.txt,1,1,1,0,0,,
PMC2890584__pone.0011278.g002.txt,6,3,1,3,2,HINT1|HI|T1,IP|NNOS
PMC2890584__pone.0011278.g006.txt,9,6,2,3,4,HINT1|J|CA,P3|P|NNOS|AM
PMC2891025__nihms-198850-f0006.txt,0,0,0,0,0,,
PMC2891200__nihms108036f3.txt,5,4,1,1,3,J,RO|L|SLI
PMC2891218__nihms168087f7.txt,14,9,2,5,7,OP|CA|AE|NM|J,DL|CT|CB1|L|ACS|Y|RL
PMC2891586__pcbi.1000807.g003.txt,44,40,32,4,8,HA|TACE|J|CELL,S|L|PS|SRI|Y|PI|OF|B
PMC2891859__nihms167873f1.txt,10,9,4,1,5,CA2,DAG|ERK|NADE|PKC|MEK
PMC2891946__nihms182803f7.txt,1,1,0,0,1,,L
PMC2893682__zjh0071086730007.txt,1,1,0,0,1,,L
PMC2893887__nihms197252f7.txt,8,4,1,4,3,E|R|NS|CELL,PI3K|PI|P
PMC2893997__zmk0131094950007.txt,0,0,0,0,0,,
PMC2894844__1471-2202-11-74-7.txt,1,1,0,0,1,,L
PMC2895421__nihms-212355-f0002.txt,0,0,0,0,0,,
PMC2895628__1471-2164-11-320-5.txt,0,0,0,0,0,,
PMC2896660__JBB2010-236528.002.txt,3,3,0,0,3,,P|PP|S
PMC2897908__nihms-209662-f0002.txt,0,0,0,0,0,,
PMC2897923__nihms188775f1.txt,0,0,0,0,0,,
PMC2897923__nihms188775f2.txt,2,1,1,1,0,JNK,
PMC2899674__nihms-209954-f0001.txt,9,7,2,2,5,R|SOX18,VEGFR2|NRP|COUP-TFII|L|PROX1
PMC2899688__nihms214620f9.txt,10,6,0,4,6,J|R|SS|R2,S|L|PKC|B|SA|RS
PMC2899694__nihms213803f1.txt,3,2,1,1,1,AOP,L
PMC2899694__nihms213803f6.txt,0,0,0,0,0,,
PMC2900623__cam0402_0255_fig003.txt,7,5,1,2,4,VIII|II,P|PTK|NOT|S
PMC2901141__ddq20807.txt,6,5,2,1,3,II,A1|C1|A2
PMC2901320__1471-2164-11-388-5.txt,4,3,2,1,1,J,Z
PMC2901811__org0602_0076_fig004.txt,0,0,0,0,0,,
PMC2901811__org0602_0076_fig006.txt,9,5,1,4,4,E|OR|J|CELL,L|DL|H|WARTS
PMC2902748__JO2010-412985.001.txt,4,2,0,2,2,E|U,H|L
PMC2902905__mplantssn069f01_4c.txt,6,2,0,4,2,RC|GNL1|E|TC,ES1|TGN
PMC2904107__zh30071056830012.txt,2,1,0,1,1,PYY,EPI
PMC2904940__1496fig7.txt,11,8,1,3,7,II|U|CNK1,FI|B|CHK|LN|L|IN|ERK
PMC2905036__nihms-183350-f0002.txt,4,3,1,1,2,TMPRSS6,HJV|SMAD1
PMC2905467__nihms191589f2.txt,6,5,4,1,1,CA,ASM
PMC2905627__nihms217549f7.txt,3,3,2,0,1,,C-FOS
PMC2905744__nihms220184f3.txt,6,3,0,3,3,J|NF-KB|CELL,PI3K|L|Y
PMC2906687__nihms-190496-f0002.txt,7,4,3,3,1,R|CA2|J,PKG
PMC2907396__pone.0011671.g003.txt,6,4,1,2,3,TNL|OR,OT|X|L
PMC2908610__1475-2867-10-22-1.txt,3,2,1,1,1,CELL,LN
PMC2908618__pone.0011716.g007.txt,0,0,0,0,0,,
PMC2909145__pone.0011568.g001.txt,1,1,0,0,1,,X
PMC2909662__nihms219568f1.txt,0,0,0,0,0,,
PMC2910246__nihms-208519-f0008.txt,3,2,0,1,2,MT,L|ROS
PMC2910980__PC.073874.wc.f12.txt,4,2,0,2,2,R|OR,OF|B
PMC2911501__nihms194310f2.txt,11,8,6,3,2,J|U|E3,NES|IN
PMC2912031__mvq043f4.txt,3,2,2,1,0,J,
PMC2912204__JCI44026.f1.txt,4,1,1,3,0,CELL|PIP|J,
PMC2912210__nihms216665f1.txt,2,1,0,1,1,CELL,OF
PMC2912609__nihms194918f2.txt,10,8,4,2,4,R|J,VEGF|VEGFR|MIG|TSG
PMC2913337__zjh0081087040002.txt,0,0,0,0,0,,
PMC2913371__zjh0081086850008.txt,1,0,0,1,0,OS,
PMC2913378__zjh0081087330003.txt,2,2,1,0,1,,L
PMC2913455__zh89991052990007.txt,0,0,0,0,0,,
PMC2913631__PPAR2010-341671.003.txt,0,0,0,0,0,,
PMC2913769__zpt0081090420009.txt,9,7,3,2,4,E2|E,B|ERA|ER|BCRP
PMC2917029__bcr2588-8.txt,4,3,1,1,2,J,P4|X
PMC2917731__iaa0152-0101-f01.txt,0,0,0,0,0,,
PMC2918404__nihms215799f8.txt,9,6,4,3,2,R|CELL|ECM,L|FU
PMC2919000__zjv999093535008a.txt,13,11,3,2,8,OASL|L1,B|OAS|AK|PKR|FI|L|IFN|RL
PMC2919048__pone.0012016.g007.txt,12,7,2,5,5,U|R|E|ALL|CELL,TGFBETA|X|IN|P|NOT
PMC2919057__nihms212787f9.txt,5,4,1,1,3,J,L|DPI|OF
PMC2919275__nihms212450f2.txt,4,2,1,2,1,CELL|IL-2,BCL-XL
PMC2919348__nihms223413f1.txt,14,9,0,5,9,FAT4|E|SALVADOR|YAP|R,H|L|IN|WARTS|LATS|MOB|P73|OF|B
PMC2919351__nihms-221725-f0001.txt,8,4,2,4,2,E|J|FA|TP,GL|GPI
PMC2919366__nihms109428f4.txt,5,4,1,1,3,IL-6,P|MCP-1|TNFA
PMC2919655__nihms195420f3.txt,4,4,1,0,3,,IL-17|CD|S
PMC2921074__nihms25473f1.txt,5,2,2,3,0,OR|CELL|IL-6,
PMC2923187__pone.0012222.g008.txt,8,6,1,2,5,R|NS,B|HIP|DI|REG|LAR
PMC2923204__nihms216902f2.txt,18,13,4,5,9,CA|MT|R|ARC|HOMER,OF|B|AC|PI3K|ERK|TRKB|PSD-95|P|ER
PMC2923360__z380091079210008.txt,0,0,0,0,0,,
PMC2923586__nihms223756f1.txt,6,1,1,5,0,RANK|G2|G3|G4|G5,
PMC2923715__467_2009_1416_Fig5_HTML.txt,6,3,1,3,2,NPHP3|JNK|CELL,NPHP2|Y
PMC2923852__nihms-208591-f0001.txt,1,1,0,0,1,,X
PMC2923990__zbc0351027670007.txt,8,8,2,0,6,,LPS|CD|L|OF|IKBA|B
PMC2925626__zh89990943790003.txt,0,0,0,0,0,,
PMC2928279__pone.0012405.g002.txt,25,19,3,6,16,E|U71A|R|U|FOR|J,B|P|L|S|STM|L3|G-CSF|RN|SCF|S6|CO|Y|IL-27|X|MR|SC
PMC2928401__nihms223339f8.txt,2,0,0,2,0,SCA|U,
PMC2929604__GRP2010-537263.001.txt,2,1,0,1,1,DAMAGE,S
PMC2929951__pone.0012385.g008.txt,18,11,5,7,6,CELL|J|II|OS|NEFL|R|E,L|SC|OF|B|ALS|FAK
PMC2930606__nihms230262f1.txt,6,4,1,2,3,ERK1|CAL,MEK1|L|IP3R
PMC2930641__1748-7188-5-30-2.txt,0,0,0,0,0,,
PMC2930805__carcinbgq142f01_ht.txt,3,2,1,1,1,ST,L
PMC2930854__pone.0012486.g010.txt,8,3,0,5,3,CA|EPHA5|J|R|INE,CYC|PSD95|S
PMC2932543__fig-8.txt,11,7,1,4,6,R|HI|J|K3,S|Z|L|MEKK1|JNK1|X
PMC2932783__nihms218170f1.txt,11,5,3,6,2,J|RBJ|R|MANA|NF-KB|DAMAGE,ROS|L
PMC2932971__1893fig1.txt,4,3,1,1,2,IPP,B|L
PMC2933166__fig-4.txt,0,0,0,0,0,,
PMC2933269__nihms210942f1.txt,1,0,0,1,0,ACTIVIN,
PMC2933676__1423-0127-17-69-3.txt,13,10,4,3,6,NL|VR|U,P|DI|L|FE|MU|SI
PMC2933845__10555_2010_9238_Fig4_HTML.txt,7,3,1,4,2,S9|U|GE|J,S|L
PMC2934865__nihms222776f2.txt,4,4,2,0,2,,TRAF6|L
PMC2935318__nihms231869f6.txt,3,2,1,1,1,R,L
PMC2935335__fig-1.txt,2,2,1,0,1,,MEK
PMC2935335__fig-2.txt,3,2,2,1,0,METH,
PMC2935335__fig-3.txt,0,0,0,0,0,,
PMC2936618__pnas.1007909107fig05.txt,3,2,0,1,2,R,S|L
PMC2937009__nihms227825f2.txt,9,5,1,4,4,U|LI|R|CELL,ECE|MEK|P|ERK
PMC2937064__nihms218132f1.txt,21,14,6,7,8,NA|CDS|CD127|R|ST|J|BIM,L|AT3|CD27|GH|IGFR|FKHR|FKHRL1|FASL
PMC2937064__nihms218132f3.txt,8,5,2,3,3,OR|FOR|R,IN|OF|S
PMC2938013__nihms-224788-f0009.txt,1,1,1,0,0,,
PMC2938097__zjw0071036280004.txt,9,5,1,4,4,NE|PRM|R|MT,CT|L|LAR|NUC
PMC2938097__zjw0071036280006.txt,9,9,3,0,6,,TRAIL|CO|AP|H|FY|NPM
PMC2938100__zjw0071036350004.txt,0,0,0,0,0,,
PMC2938460__PPAR2010-417646.001.txt,7,5,2,2,3,J|APO,BCL-2|14-3-3|L
PMC2938833__fig-2.txt,2,2,0,0,2,,LAR|IN
PMC2939368__2068fig7.txt,9,4,0,5,4,E|CELL|R|FBS|J,L|ER|B|OAS
PMC2940266__nihms99348f2.txt,2,2,2,0,0,,
PMC2940477__zmg0091047000008.txt,2,2,2,0,0,,
PMC2940575__nop02201.txt,3,2,1,1,1,CELL,L
PMC2940738__pgen.1001125.g007.txt,2,0,0,2,0,II|E,
PMC2940771__1752-0509-4-119-1.txt,2,2,0,0,2,,TR|X
PMC2943488__nihms-230584-f0001.txt,0,0,0,0,0,,
PMC2943518__jin0002-0043-f07.txt,0,0,0,0,0,,
PMC2943975__nihms204193f1.txt,2,1,1,1,0,E,
PMC2944161__1471-213X-10-96-8.txt,0,0,0,0,0,,
PMC2944186__1476-4598-9-236-1.txt,0,0,0,0,0,,
PMC2944875__pone.0012949.g002.txt,9,3,1,6,2,R|LRMP|E|NM|J|II,B|L
PMC2945552__zbc0431033770011.txt,2,1,0,1,1,J,S
PMC2945784__gb-2010-11-8-r82-2.txt,0,0,0,0,0,,
PMC2945950__1752-0509-4-121-1.txt,0,0,0,0,0,,
PMC2945950__1752-0509-4-121-2.txt,3,1,0,2,1,U|J,P
PMC2945950__1752-0509-4-121-3.txt,0,0,0,0,0,,
PMC2945950__1752-0509-4-121-5.txt,0,0,0,0,0,,
PMC2945950__1752-0509-4-121-6.txt,0,0,0,0,0,,
PMC2945950__1752-0509-4-121-7.txt,0,0,0,0,0,,
PMC2945950__1752-0509-4-121-8.txt,0,0,0,0,0,,
PMC2945950__1752-0509-4-121-9.txt,0,0,0,0,0,,
PMC2946353__1471-2105-11-469-4.txt,3,1,0,2,1,R|J,L
PMC2946515__nihms165144f3.txt,0,0,0,0,0,,
PMC2946555__nihms-236013-f0002.txt,1,1,0,0,1,,L
PMC2946881__fig-1.txt,11,8,5,3,3,CELL|J|E,AP|IN|L
PMC2947266__gr10.txt,3,1,0,2,1,ERK1|D1,MEK1
PMC2947752__DEV050864F7.txt,8,4,1,4,3,LOR|FOR|CELL|E,L|E4|EPI
PMC2948618__nihms230881f3.txt,6,4,2,2,2,CN|J,L|B
PMC2949153__jcbfm2009214f7.txt,0,0,0,0,0,,
PMC2949268__nihms135390f3.txt,10,10,2,0,8,,B|GLP-1|Y|S|L|OF|LAG-2|CSL
PMC2949386__pone.0013131.g006.txt,2,1,0,1,1,J,S
PMC2949529__nihms206301f2.txt,4,2,1,2,1,GE|GLUT4,NES
PMC2949723__1744-8069-6-56-3.txt,0,0,0,0,0,,
PMC2951022__nihms235327f1.txt,2,1,0,1,1,E,L
PMC2951025__nihms85976f8.txt,4,3,1,1,2,CA2,GLT-1|SIS
PMC2951409__pnas.1001794107fig05.txt,7,5,1,2,4,TWEEK|WIT,H|PI|P2|WASP
PMC2952290__pmic0010-1316-f3.txt,5,4,0,1,4,J,ENT|AOC|S1|UP
PMC2952290__pmic0010-1316-f4.txt,0,0,0,0,0,,
PMC2952341__nihms-232190-f0001.txt,14,10,5,4,5,CELL|L1|DLK2|NF-KB,DL|L3|L4|ES1|Y
PMC2953617__nihms237584f2.txt,3,2,1,1,1,TUBE,OF
PMC2953964__nihms235590f1.txt,7,4,2,3,2,LIGHT|MRLC|II,L|H
PMC2954045__aging-02-527-g001.txt,3,2,1,1,1,J,FXR
PMC2954724__zee0111056530001.txt,7,5,0,2,5,SUN|LH,B|KIN|IN|ON|HO
PMC2955614__1476-4598-9-252-5.txt,0,0,0,0,0,,
PMC2955764__nihms-230789-f0001.txt,5,5,4,0,1,,P
PMC2955995__nihms-217025-f0002.txt,0,0,0,0,0,,
PMC2956057__109_2010_644_Fig2_HTML.txt,1,1,0,0,1,,L
PMC2956880__nihms239224f4.txt,0,0,0,0,0,,
PMC2957443__pone.0013500.g003.txt,0,0,0,0,0,,
PMC2958340__JO2011-941876.003.txt,0,0,0,0,0,,
PMC2958340__JO2011-941876.004.txt,0,0,0,0,0,,
PMC2958340__JO2011-941876.005.txt,0,0,0,0,0,,
PMC2958481__JCB_201004108_GS_Fig6.txt,0,0,0,0,0,,
PMC2958907__1752-0509-4-137-1.txt,13,6,2,7,4,U|E|BIM|J|DC|NS|R,LT|B|L|P
PMC2962609__nihms-242212-f0010.txt,5,3,1,2,2,R|CELL,RPE|PL
PMC2962631__pone.0013558.g004.txt,4,2,0,2,2,R|J,TS|L
PMC2963056__schbulsbp033f02_ht.txt,0,0,0,0,0,,
PMC2963142__MI2010-781235.001.txt,0,0,0,0,0,,
PMC2963150__nihms239332f5.txt,8,6,2,2,4,R|GLUT4,PEPCK|ENOS|L|PKCL
PMC2963311__nihms237509f8.txt,4,3,1,1,2,J,B|LN
PMC2963354__zbc0441035110007.txt,10,6,2,4,4,J|U|16|MIN,LPS|B|S|MTA1
PMC2963373__zbc0451035750006.txt,0,0,0,0,0,,
PMC2964935__nihms34081f4.txt,4,2,0,2,2,E|R,RO|S
PMC2964935__nihms34081f5.txt,5,4,2,1,2,PIP,NEM|P
PMC2965074__nihms-246024-f0003.txt,3,3,1,0,2,,NEMO|IKKA
PMC2965086__pone.0013543.g006.txt,0,0,0,0,0,,
PMC2966078__zbc0461036750006.txt,0,0,0,0,0,,
PMC2966480__fig-5.txt,0,0,0,0,0,,
PMC2966790__zjh0111088800010.txt,0,0,0,0,0,,
PMC2966904__951832.fig7.txt,0,0,0,0,0,,
PMC2967656__nihms231921f1.txt,10,6,3,4,3,NE|NS|R|STI,H|L|DAG
PMC2970559__pone.0015384.g007.txt,0,0,0,0,0,,
PMC2970638__nihms219609f8.txt,12,8,1,4,7,FA|CELL|U|OR,S|ON|OF|IN|CO|ET|L
PMC2972639__dvdy0239-2522-f2.txt,2,2,0,0,2,,LT|DI
PMC2972700__nihms243195f1.txt,4,2,0,2,2,JNK|CELL,A2|Y
PMC2974067__cib0305_0409_fig001.txt,1,1,1,0,0,,
PMC2974943__nihms213988f2.txt,5,3,1,2,2,BIG|R,PKC|Y
PMC2975164__zbc0481038360007.txt,0,0,0,0,0,,
PMC2975271__nihms-242741-f0009.txt,3,1,1,2,0,DAMAGE|CELL,
PMC2975372__nihms246517f5.txt,5,3,0,2,3,E|J,B|X|Y
PMC2975375__nihms246516f2.txt,6,4,1,2,3,MIN|E,B|S|GL
PMC2975607__nihms247753f1.txt,7,5,3,2,2,R|E,L|ERK
PMC2975945__nihms-240452-f0003.txt,1,0,0,1,0,J,
PMC2975945__nihms-240452-f0005.txt,3,2,1,1,1,R,BS
PMC2976807__nihms238183f6.txt,4,3,1,1,2,R,B|SC
PMC2980340__adt.2009.0198_fig_01.txt,7,5,0,2,5,ELF|E1C,P|L|B|H|AA
PMC2981059__carcinbgq188f06_4c.txt,11,8,3,3,5,E|R|CELL,PI3K|L|IKK|S|AA
PMC2981611__nihms-229692-f0001.txt,6,3,3,3,0,CA2|JNK|CELL,
PMC2982674__nihms250318f1.txt,8,6,1,2,5,ADP|OR,PL|ET|LT|FRA2|RS
PMC2982790__nihms247427f9.txt,7,4,2,3,2,ERK1|NF-KB|CELL,MEK|PI3K
PMC2984446__pone.0014027.g010.txt,10,5,2,5,3,DAMAGE|LI|E|REP|J,P|S|OF
PMC2987346__ejhg2009189f2.txt,2,1,1,1,0,CELL,
PMC2987401__nihms223381f1.txt,2,1,1,1,0,CA2,
PMC2987418__ejhg201062f2.txt,0,0,0,0,0,,
PMC2987418__ejhg201062f3.txt,0,0,0,0,0,,
PMC2988058__1471-2172-11-53-6.txt,0,0,0,0,0,,
PMC2988350__zbc0501039980008.txt,0,0,0,0,0,,
PMC2988492__nihms245484f4.txt,0,0,0,0,0,,
PMC2990205__DEV060483F7.txt,3,0,0,3,0,PF|R|U,
PMC2990476__nihms211358f3.txt,3,2,0,1,2,NG,Y|GPCR
PMC2990745__1752-0509-4-151-1.txt,0,0,0,0,0,,
PMC2991480__nihms226012f5.txt,6,5,2,1,3,CELL,OF|B|L
PMC2993470__zmo0121062480001.txt,0,0,0,0,0,,
PMC2994381__1423-0127-17-S1-S28-5.txt,4,2,0,2,2,JNK|TAUT,P53|C-JUN
PMC2994985__nihms246185f1.txt,1,0,0,1,0,II,
PMC2995894__nihms-204451-f0006.txt,12,9,4,3,5,R|OR|J,P|IF|L|ANG|ERK
PMC2996036__PP_161661_wc_f8.txt,0,0,0,0,0,,
PMC2996105__nihms253117f7.txt,0,0,0,0,0,,
PMC2996291__pone.0014180.g009.txt,1,1,0,0,1,,L
PMC2996331__pgen.1001231.g001.txt,1,1,0,0,1,,B
PMC2997007__1471-2164-11-513-6.txt,4,4,0,0,4,,B|BF|S|L
PMC2997573__nihms-158810-f0001.txt,6,3,0,3,3,NS|R|GEN,S|ER|ARO
PMC2997678__nihms-247584-f0007.txt,0,0,0,0,0,,
PMC2997801__halms482245f1.txt,3,1,0,2,1,NF-KB|CELL,TAP
PMC2998167__DEV055350F7.txt,4,3,0,1,3,J,SA|LDB|PLM
PMC2999296__WJH-2-295-g002.txt,0,0,0,0,0,,
PMC2999341__1471-2164-11-S3-S11-12.txt,0,0,0,0,0,,
PMC3000242__fig-1.txt,2,1,1,1,0,J,
PMC3000836__1745-7580-6-10-1.txt,0,0,0,0,0,,
PMC3000872__nihms192852f4.txt,8,5,1,3,4,E2|E3|LE,UBC9|H|KLF2|ENOS
PMC3002618__10.1177_1756285608100427-fig1.txt,6,6,3,0,3,,P35|P25|TAU
PMC3003620__1756-8722-3-45-1.txt,5,3,0,2,3,J|E,Y|AS|L
PMC3003706__nihms-250984-f0007.txt,0,0,0,0,0,,
PMC3003974__IJN2011-809378.003.txt,0,0,0,0,0,,
PMC3004666__cmr-1-079f1.txt,0,0,0,0,0,,
PMC3006139__pntd.0000924.g006.txt,0,0,0,0,0,,
PMC3006290__zh40121096060001.txt,0,0,0,0,0,,
PMC3006436__nihms231136f3.txt,9,7,3,2,4,TC|E,B|OCT4|L|TIH
PMC300841__JCI0009871.f1.txt,1,0,0,1,0,OR,
PMC3009741__pone.0015613.g003.txt,0,0,0,0,0,,
PMC3009900__zbc0051145420006.txt,0,0,0,0,0,,
PMC3009957__1750-2187-5-20-9.txt,5,5,2,0,3,,PI3K|L|OF
PMC3010279__nihms241833f8.txt,9,5,2,4,3,GIRK2|II|NS|CA,B|L|RO
PMC3010508__nihms-200185-f0009.txt,5,3,1,2,2,R|OR,P65|ON
PMC3012004__nihms259273f2.txt,6,5,3,1,2,E,R1|L
PMC3012164__zdb0011164200002.txt,3,1,1,2,0,R|LI,
PMC3012164__zdb0011164200003.txt,1,0,0,1,0,R,
PMC3012583__WJG-16-6111-g005.txt,0,0,0,0,0,,
PMC3013016__zbc0071146750008.txt,0,0,0,0,0,,
